ITEM_CATEGORY_NAME,ITEM_SUBCATEGORY_NAME,ITEM_CLASS_NAME,PRODUCT_COUNTRY_ORIGIN_NAME,PRODUCT_SKU_NO,PRODUCT_LONG_NAME,PRODUCT_BASE_UPC_NO,PRODUCT_LITRES_PER_CONTAINER,PRD_CONTAINER_PER_SELL_UNIT,PRODUCT_ALCOHOL_PERCENT,PRODUCT_PRICE,SWEETNESS_CODE
Wine,Argentina Wine,Argentina Red Wine,ARGENTINA,606665,CABERNET SAUVIGNON MALBEC - CATENA ZAPATA NICOLAS 2015,7794450008305,0.75,1,13.5,142.99,0
Wine,Chile Wine,Chile Red Wine,CHILE,836957,CABERNET SAUVIGNON - FAMILIA ORUETA PUENTE NEGRO CENTRAL VLY,7804386000929,0.75,1,13,6.99,0
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,850628,DEVERON - 12 YEAR OLD,80480006143,0.75,1,40,64.99,NA
Wine,Spain Wine,Spain Red Wine,SPAIN,890160,ALICANTE MONASTRELL - VOLVER TAMIRA HILL OLD VINES 2017,626990199458,0.75,1,15,24.99,0
Spirits,Whisky,Blended Scotch Whisky,UNITED KINGDOM,3343,J AND B RARE,5010103800440,1.14,1,40,35.49,NA
Refreshment Beverages,Cider,Domestic Cider,CANADA,7391,GROWERS LIGHT - RASPBERRY PEACH CAN,63657041659,0.355,4,4,8.49,NA
Wine,France Wine,France White Wine,FRANCE,15782,EDELZWICKER - DOMAINE MARTIN JUND,626990446453,1,1,12,28.99,1
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,CANADA,28495,OKANAGAN SPRING - WINTERLAND ORANGE CRANBERRY ALE CAN,56910001569,0.355,6,4.8,12.49,NA
Spirits,Tequila,Gold Tequila,MEXICO,89836,EL MAYOR - REPOSADO,88352124803,0.75,1,40,82.99,NA
Wine,Chile Wine,Chile Red Wine,CHILE,101199,CHILEAN RED - CLOS APALTA COLCHAGUA 2016,626990414612,6,1,15,1389,NA
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,158397,HIGHLAND PARK - VALFATHER,812066023233,0.75,1,47,89.99,NA
Wine,Italy Wine,Italy White Wine,ITALY,226030,PROVINCIA DI PAVIA - PINOT GRIGIO ANGELO,8055684027760,0.75,1,12,8.99,0
Wine,Sake,Japan Sake,JAPAN,237090,CHIYOGIKU - SEISHU,4965481903287,0.72,1,15,19.99,NA
Wine,USA Wine,USA White Wine,UNITED STATES OF AMERICA,379180,CHARDONNAY - ROBERT MONDAVI PRIVATE SELECTION,86003461925,0.75,1,13.5,16.49,0
Wine,Argentina Wine,Argentina Red Wine,ARGENTINA,631291,MALBEC - DONA PAULA ESTATE MENDOZA UCO VALLEY,836950000056,0.75,1,14.5,18.99,0
Wine,France Wine,France Champagne Wine,FRANCE,698712,PIPER HEIDSIECK - CUVEE BRUT,3018334200000,0.375,1,12,40.99,0
Spirits,Tequila,Gold Tequila,MEXICO,852053,CASAMIGOS - REPOSADO,83089451000,0.75,1,40,89.99,0
Wine,France Wine,France Red Wine,FRANCE,965814,COTES DU JURA ROUGE - JEAN BOURDY 1987,878969006988,0.75,1,12.5,205.99,0
